Date,Timestamp,Daily Confirmed,Number of cases,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
2020-01-30,1580342400,1,1,0,0,0,0
2020-01-31,1580428800,0,1,0,0,0,0
2020-02-01,1580515200,0,1,0,0,0,0
2020-02-02,1580601600,1,2,0,0,0,0
2020-02-03,1580688000,1,3,0,0,0,0
2020-02-04,1580774400,0,3,0,0,0,0
2020-02-05,1580860800,0,3,0,0,0,0
2020-02-06,1580947200,0,3,0,0,0,0
2020-02-07,1581033600,0,3,0,0,0,0
2020-02-08,1581120000,0,3,0,0,0,0
2020-02-09,1581206400,0,3,0,0,0,0
2020-02-10,1581292800,0,3,0,0,0,0
2020-02-11,1581379200,0,3,0,0,0,0
2020-02-12,1581465600,0,3,0,0,0,0
2020-02-13,1581552000,0,3,1,1,0,0
2020-02-14,1581638400,0,3,0,1,0,0
2020-02-15,1581724800,0,3,0,1,0,0
2020-02-16,1581811200,0,3,1,2,0,0
2020-02-17,1581897600,0,3,0,2,0,0
2020-02-18,1581984000,0,3,0,2,0,0
2020-02-19,1582070400,0,3,0,2,0,0
2020-02-20,1582156800,0,3,1,3,0,0
2020-02-21,1582243200,0,3,0,3,0,0
2020-02-22,1582329600,0,3,0,3,0,0
2020-02-23,1582416000,0,3,0,3,0,0
2020-02-24,1582502400,0,3,0,3,0,0
2020-02-25,1582588800,0,3,0,3,0,0
2020-02-26,1582675200,0,3,0,3,0,0
2020-02-27,1582761600,0,3,0,3,0,0
2020-02-28,1582848000,0,3,0,3,0,0
2020-02-29,1582934400,0,3,0,3,0,0
2020-03-01,1583020800,0,3,0,3,0,0
2020-03-02,1583107200,2,5,0,3,0,0
2020-03-03,1583193600,1,6,0,3,0,0
2020-03-04,1583280000,22,28,0,3,0,0
2020-03-05,1583366400,2,30,0,3,0,0
2020-03-06,1583452800,1,31,0,3,0,0
2020-03-07,1583539200,3,34,0,3,0,0
2020-03-08,1583625600,5,39,0,3,0,0
2020-03-09,1583712000,9,48,0,3,0,0
2020-03-10,1583798400,15,63,1,4,0,0
2020-03-11,1583884800,8,71,0,4,0,0
2020-03-12,1583971200,10,81,0,4,1,1
2020-03-13,1584057600,10,91,6,10,0,1
2020-03-14,1584144000,11,102,0,10,1,2
2020-03-15,1584230400,10,112,3,13,0,2
2020-03-16,1584316800,14,126,1,14,0,2
2020-03-17,1584403200,20,146,1,15,1,3
2020-03-18,1584489600,25,171,0,15,0,3
2020-03-19,1584576000,27,198,5,20,1,4
2020-03-20,1584662400,58,256,3,23,0,4
2020-03-21,1584748800,78,334,0,23,0,4
2020-03-22,1584835200,69,403,0,23,3,7
2020-03-23,1584921600,94,497,2,25,2,9
2020-03-24,1585008000,74,571,15,40,1,10
2020-03-25,1585094400,86,657,3,43,1,11
2020-03-26,1585180800,73,730,7,50,5,16
2020-03-27,1585267200,153,883,25,75,3,19
2020-03-28,1585353600,136,1019,10,85,5,24
2020-03-29,1585440000,120,1139,17,102,3,27
2020-03-30,1585526400,187,1326,35,137,14,41
2020-03-31,1585612800,309,1635,13,150,6,47
2020-04-01,1585699200,424,2059,19,169,6,53
2020-04-02,1585785600,486,2545,22,191,16,69
2020-04-03,1585872000,560,3105,39,230,14,83
2020-04-04,1585958400,579,3684,56,286,13,96
2020-04-05,1586044800,609,4293,43,329,22,118
2020-04-06,1586131200,484,4777,65,394,16,134
2020-04-07,1586217600,573,5350,75,469,27,161
2020-04-08,1586304000,565,5915,96,565,20,181
2020-04-09,1586390400,813,6728,70,635,46,227
2020-04-10,1586476800,871,7599,151,786,22,249
2020-04-11,1586563200,854,8453,186,972,41,290
2020-04-12,1586649600,758,9211,114,1086,42,332
2020-04-13,1586736000,1243,10454,112,1198,27,359
2020-04-14,1586822400,1031,11485,167,1365,37,396
2020-04-15,1586908800,886,12371,144,1509,27,423
2020-04-16,1586995200,1061,13432,258,1767,26,449
2020-04-17,1587081600,922,14354,273,2040,38,487
2020-04-18,1587168000,1371,15725,426,2466,35,522
2020-04-19,1587254400,1580,17305,388,2854,38,560
2020-04-20,1587340800,1239,18544,419,3273,33,593
2020-04-21,1587427200,1537,20081,703,3976,53,646
2020-04-22,1587513600,1292,21373,394,4370,36,682
2020-04-23,1587600000,1667,23040,642,5012,40,722
2020-04-24,1587686400,1408,24448,484,5496,59,781
