S. No.,Name of State / UT,Active Cases,Cured/Discharged/Migrated,Deaths,Total Confirmed cases
1,Andaman and Nicobar,228,6544,106,6878
2,Andhra Pradesh,198023,1400754,10328,1609105
3,Arunachal Pradesh,3323,21575,104,25002
4,Assam,54888,323368,2915,381171
5,Bihar,35130,655850,4746,695726
6,Chandigarh,4063,54215,714,58992
7,Chhattisgarh,56474,887518,12723,956715
8,Dadra and Nagar Haveli and Daman and Diu,431,9657,4,10092
9,Delhi,21739,1374682,23565,1419986
10,Goa,15706,131244,2460,149410
11,Gujarat,62506,722741,9665,794912
12,Haryana,34088,702779,7735,744602
13,Himachal Pradesh,23053,157042,2887,182982
14,Jammu and Kashmir,44918,227242,3662,275822
15,Jharkhand,15641,312526,4891,333058
16,Karnataka,424402,2022172,26399,2472973
17,Kerala,255788,2132071,7731,2395590
18,Ladakh,1561,16070,179,17810
19,Lakshadweep,2320,4765,26,7111
20,Maharashtra,317038,5218768,90349,5626155
21,Manipur,6785,37946,720,45451
22,Meghalaya,7971,22976,502,31449
23,Mizoram,2743,8160,34,10937
24,Madhya Pradesh,48634,713376,7686,769696
25,Nagaland,4806,15414,315,20535
26,Odisha,98838,612993,2549,714380
27,Puducherry,15475,81336,1408,98219
28,Punjab,53127,481462,13642,548231
29,Rajasthan,87391,828558,7911,923860
30,Sikkim,3370,9904,237,13511
31,Tamil Nadu,306652,1583504,21340,1911496
32,Telengana,38706,518266,3169,560141
33,Tripura,8001,39491,473,47965
34,Uttar Pradesh,69828,1588161,19519,1677508
35,Uttarakhand,45568,266758,6020,318346
36,West Bengal,126376,1160928,14674,1301978
